,date,over_start_bowler_balls_bowled,over_start_bowler_wickets_taken,over_start_bowler_runs_given,over_start_batsman_on_strike_fours,over_start_batsman_on_strike_sixers,over_start_batsman_off_strike_balls_faced,over_start_batsman_on_strike_balls_faced,over_start_batsman_offstrike_runs,over_start_batsman_onstrike_runs,innings,over_start_run_rate,over_start_total_score,match_num,over_start_total_wickets_fallen,over,y_is_wicket_fallen
2739,2022-03-03,-0.3143287101923076,-0.5543637387278991,-0.28325143195178215,-0.23652404873449132,-0.5046630747261387,-0.2887118101134373,-0.28775042863536243,-0.5990699219331141,-0.257289897452379,1.0276164046535667,-0.9555665760156107,-0.8020874011945385,1495,0.7106924732729062,-0.39580411956366784,0
2740,2022-03-03,-1.1983402084894357,-0.5543637387278991,-1.0208008267545958,0.2890046292299805,-0.5046630747261387,0.13734674370368855,-0.20531896767787622,-0.14385818088751817,-0.3708529813257805,1.0276164046535667,-0.8870168049137582,-0.6789620538873863,1495,0.7106924732729062,-0.21961651552081546,0
2741,2022-03-03,-0.3143287101923076,-0.5543637387278991,-0.38861563120932696,-0.23652404873449132,-0.5046630747261387,0.13734674370368855,0.28926979806704106,-0.20075964851821768,-0.08694527164227689,1.0276164046535667,-0.9190066978898873,-0.5968784890159514,1495,0.7106924732729062,-0.0434289114779631,0
2742,2022-03-03,-0.3143287101923076,-0.5543637387278991,-0.5993440297244166,0.2890046292299805,-0.5046630747261387,0.904252140574515,0.12440687615206865,0.48205796305017634,-0.20050835551567833,1.0276164046535667,-0.6758835104267722,-0.3711486856195057,1495,0.7106924732729062,0.13275869256488926,1
2743,2022-03-03,0.5696827881048203,-0.5543637387278991,0.3489337635934868,-0.23652404873449132,0.4562852105695732,-0.9704054962208385,0.8662900247694446,-0.8835772600866117,0.48087014772473025,1.0276164046535667,-0.7212509951227748,-0.28906512074807084,1495,1.1815084274094132,0.30894629660774164,0
2744,2022-03-03,0.5696827881048203,0.9306120831408653,-0.1778872326942373,-0.7620527266989631,-0.5046630747261387,1.1598872728647904,-0.6999077334227934,0.6527623659422749,-0.8251053168193861,1.0276164046535667,-0.7590572326253627,-0.20698155587663603,1495,1.1815084274094132,0.485133900650594,1
2745,2022-03-03,-0.3143287101923076,-0.5543637387278991,-0.07252303343669249,-0.7620527266989631,-0.5046630747261387,-0.7999820746939882,-0.45261335055033486,-0.8266757924559122,-0.7115422329459847,1.0276164046535667,-0.7910471256014918,-0.1248979910052012,1495,1.6523243815459203,0.6613215046934463,1
2746,2022-03-03,1.6010295361181364,2.41558790500963,0.24356956433594198,-0.7620527266989631,-0.5046630747261387,-1.0556172069842638,-0.28775042863536243,-0.8835772600866117,-0.654760691009284,1.0276164046535667,-0.9007267592109045,-0.10437709978734248,1495,2.1231403356824274,0.8375091087362987,0
2747,2022-03-03,0.5696827881048203,0.9306120831408653,0.032841165820852336,-0.7620527266989631,-0.5046630747261387,0.13734674370368855,-0.9472021162952522,-0.31456258377961666,-0.8818868587560869,1.0276164046535667,-0.867822869051305,0.018748247519809753,1495,2.1231403356824274,1.0136967127791512,0
2748,2022-03-03,0.7170180378210084,-0.5543637387278991,0.7703905606236661,-0.7620527266989631,-0.5046630747261387,0.5634052975208144,-0.7823391943802797,0.2544520925273783,-0.8251053168193861,1.0276164046535667,-0.6950774462892254,0.26499894213411423,1495,2.1231403356824274,1.1898843168220035,1
2749,2022-03-03,1.6010295361181364,0.9306120831408653,1.2972115569113902,-0.7620527266989631,-0.5046630747261387,-0.8851937854574133,-0.535044811507821,-0.8835772600866117,-0.7115422329459847,1.0276164046535667,-0.7684660247449088,0.30604072456983167,1495,2.593956289818934,1.3660719208648557,1
2750,2022-03-05,-1.1983402084894357,-0.5543637387278991,-1.0208008267545958,-0.7620527266989631,-0.5046630747261387,-1.0556172069842638,-1.1120650382102246,-0.8835772600866117,-0.9386684006927876,-0.973125765092397,-2.71044071184682,-1.4587559201660172,1496,-1.172571343273122,-1.6291173478636343,0
2751,2022-03-05,-1.1983402084894357,-0.5543637387278991,-1.0208008267545958,-0.7620527266989631,-0.5046630747261387,-1.0556172069842638,-0.45261335055033486,-0.8835772600866117,-0.9386684006927876,-0.973125765092397,-1.558804560099623,-1.397193246512441,1496,-1.172571343273122,-1.452929743820782,1
2752,2022-03-05,-0.019658210759931627,-0.5543637387278991,-0.7047082289819614,-0.7620527266989631,-0.5046630747261387,-1.0556172069842638,-0.9472021162952522,-0.8835772600866117,-0.8818868587560869,-0.973125765092397,-1.1749258428505573,-1.2945887904231475,1496,-0.7017553891366148,-1.2767421397779297,0
2753,2022-03-05,-0.3143287101923076,0.9306120831408653,-0.49397983046687177,-0.7620527266989631,-0.5046630747261387,-0.4591352316402876,-1.0296335772527383,-0.31456258377961666,-0.8818868587560869,-0.973125765092397,-0.40716840835242624,-1.0893798782445605,1496,-0.7017553891366148,-1.1005545357350772,0
2754,2022-03-05,-1.1983402084894357,-0.5543637387278991,-1.0208008267545958,-0.7620527266989631,0.4562852105695732,-0.6295586531671379,-0.37018188959284865,-0.7697743248252127,-0.20050835551567833,-0.973125765092397,-0.599107766976959,-1.0072963133731256,1496,-0.7017553891366148,-0.924366931692225,1
2755,2022-03-05,0.5696827881048203,0.9306120831408653,-0.07252303343669249,-0.7620527266989631,-0.5046630747261387,-0.2035000993500121,-1.1120650382102246,-0.31456258377961666,-0.9386684006927876,-0.973125765092397,-0.40716840835242624,-0.8431291836302559,1496,-0.23093943500010786,-0.7481793276493726,0
2756,2022-03-05,-1.1983402084894357,-0.5543637387278991,-1.0208008267545958,-0.7620527266989631,-0.5046630747261387,-0.03307667782316178,-0.7823391943802797,-0.2576611161489172,-0.8251053168193861,-0.973125765092397,-0.599107766976959,-0.7815665099766799,1496,-0.23093943500010786,-0.5719917236065202,0
2757,2022-03-05,1.4536942864019484,0.9306120831408653,0.24356956433594198,-0.7620527266989631,-0.5046630747261387,0.30777016523053885,-0.6174762724653072,-0.20075964851821768,-0.7115422329459847,-0.973125765092397,-0.7362073087967856,-0.7200038363231037,1496,-0.23093943500010786,-0.39580411956366784,0
