,Unnamed: 0,year,over_start_bowler_balls_bowled,over_start_bowler_wickets_taken,over_start_bowler_runs_given,over_start_batsman_on_strike_fours,over_start_batsman_on_strike_sixers,over_start_batsman_off_strike_balls_faced,over_start_batsman_on_strike_balls_faced,over_start_batsman_offstrike_runs,over_start_batsman_onstrike_runs,innings,match_num,country,target,req_run_rate,over_start_run_rate,over_start_total_score,over_start_total_wickets_fallen,over,Bowler,batter_onStrike,batter_offstrike,wickets_fallen,sixers,fours,total_runs,bat_on_str_Ave,bat_on_str_SR,bat_on_str_100,bat_on_str_50,bat_on_str_0,bat_on_str_4s,bat_on_str_6s,bat_on_str_Mat,bat_on_str_Inns,bat_on_str_NO,bat_on_str_Runs,bat_on_str_HS,bat_on_str_BF,bowler_Mat,bowler_Inns,bowler_Overs,bowler_Mdns,bowler_Runs,bowler_Wkts,bowler_Ave,bowler_Econ,bowler_SR,bowler_4w,bowler_5w,bat_off_str_Ave,bat_off_str_SR,bat_off_str_100,bat_off_str_50,bat_off_str_0,bat_off_str_4s,bat_off_str_6s,bat_off_str_Mat,bat_off_str_Inns,bat_off_str_NO,bat_off_str_Runs,bat_off_str_HS,bat_off_str_BF,date
4660,4660,['2022-10-05'],0,0,0,2,0,1,16,0,20,2,1806,Australia,146,6.428571429,9.333333333,56,3,6,Y Cariah,AJ Finch,GJ Maxwell,1,0,0,1,34.7,145.82,2,17,7,294,119,95.0,95,11,2915,172,1999,,,,,,,,,,,,29.33,152.18,3,9,2,165,99,90.0,82,13,2024,145,1330,2022-10-05
4662,4662,['2022-10-05'],6,1,1,2,0,1,21,0,22,2,1806,Australia,146,7.333333333,7.25,58,5,8,Y Cariah,AJ Finch,MS Wade,0,0,0,4,34.7,145.82,2,17,7,294,119,95.0,95,11,2915,172,1999,,,,,,,,,,,,24.78,133.28,0,3,1,71,37,66.0,50,13,917,80,688,2022-10-05
4664,4664,['2022-10-05'],12,1,5,2,0,8,26,7,25,2,1806,Australia,146,7.8,6.8,68,5,10,Y Cariah,AJ Finch,MS Wade,0,0,1,7,34.7,145.82,2,17,7,294,119,95.0,95,11,2915,172,1999,,,,,,,,,,,,24.78,133.28,0,3,1,71,37,66.0,50,13,917,80,688,2022-10-05
4668,4668,['2022-10-05'],18,1,12,5,0,18,40,23,47,2,1806,Australia,146,6.666666667,7.571428571,106,5,14,Y Cariah,AJ Finch,MS Wade,0,0,0,3,34.7,145.82,2,17,7,294,119,95.0,95,11,2915,172,1999,,,,,,,,,,,,24.78,133.28,0,3,1,71,37,66.0,50,13,917,80,688,2022-10-05
4706,4706,['2022-10-04'],12,1,19,1,0,3,2,2,5,2,1805,India,228,13.625,9.916666667,119,7,12,KA Maharaj,DL Chahar,R Ashwin,1,0,0,4,,244.44,0,0,0,2,1,23.0,5,5,22,21,9,20.0,20,67.5,1,482,17,28.35,7.1,23.9,0,0,32.2,116.66,0,0,0,16,3,58.0,14,9,161,31,138,2022-10-04
4707,4707,['2022-10-04'],12,1,12,0,0,5,2,7,2,2,1805,India,228,15.0,9.461538462,123,8,13,K Rabada,UT Yadav,DL Chahar,0,0,1,7,2,50,0,0,0,0,0,8.0,1,0,2,2,4,48.0,48,173.1,1,1469,53,27.71,8.48,19.6,0,0,,244.44,0,0,0,2,1,23.0,5,5,22,21,9,2022-10-04
4708,4708,['2022-10-04'],18,2,23,1,0,7,7,7,8,2,1805,India,228,16.33333333,9.285714286,130,8,14,KA Maharaj,DL Chahar,UT Yadav,0,1,1,12,,244.44,0,0,0,2,1,23.0,5,5,22,21,9,20.0,20,67.5,1,482,17,28.35,7.1,23.9,0,0,2,50,0,0,0,0,0,8.0,1,0,2,2,4,2022-10-04
4709,4709,['2022-10-04'],13,2,34,1,0,12,8,18,8,2,1805,India,228,17.2,9.466666667,142,8,15,L Ngidi,UT Yadav,DL Chahar,0,1,1,17,2,50,0,0,0,0,0,8.0,1,0,2,2,4,31.0,31,103,0,894,49,18.24,8.67,12.6,1,1,,244.44,0,0,0,2,1,23.0,5,5,22,21,9,2022-10-04
4710,4710,['2022-10-04'],12,1,12,2,0,15,13,25,16,2,1805,India,228,17.25,9.9375,159,8,16,D Pretorius,UT Yadav,DL Chahar,1,1,0,11,2,50,0,0,0,0,0,8.0,1,0,2,2,4,29.0,26,80.3,0,670,32,20.93,8.32,15,0,1,,244.44,0,0,0,2,1,23.0,5,5,22,21,9,2022-10-04
4711,4711,['2022-10-04'],19,1,19,2,0,1,18,1,18,2,1805,India,228,19.33333333,10.0,170,9,17,K Rabada,UT Yadav,Mohammed Siraj,0,0,1,5,2,50,0,0,0,0,0,8.0,1,0,2,2,4,48.0,48,173.1,1,1469,53,27.71,8.48,19.6,0,0,,,,,,,,5.0,,,,,,2022-10-04
4712,4712,['2022-10-04'],20,2,23,2,0,5,20,5,19,2,1805,India,228,26.5,9.722222222,175,9,18,D Pretorius,UT Yadav,Mohammed Siraj,1,0,0,3,2,50,0,0,0,0,0,8.0,1,0,2,2,4,29.0,26,80.3,0,670,32,20.93,8.32,15,0,1,,,,,,,,5.0,,,,,,2022-10-04
4793,4793,['2022-10-07'],0,0,0,0,0,0,0,0,0,1,1808,Australia,210,10.0,0.0,0,0,0,KR Mayers,DA Warner,C Green,0,0,2,8,33.3,141.18,1,22,6,271,100,92.0,92,11,2698,100,1911,17.0,5,7,0,60,0,,8.57,,0,0,26.8,186.11,0,2,0,17,8,5.0,5,0,134,61,72,2022-10-07
4795,4795,['2022-10-07'],6,0,8,0,0,7,1,9,0,1,1808,Australia,210,8.0,5.5,11,1,2,KR Mayers,AJ Finch,DA Warner,0,0,1,12,34.97,144.88,2,18,7,300,119,96.0,96,11,2973,172,2052,17.0,5,7,0,60,0,,8.57,,0,0,33.3,141.18,1,22,6,271,100,92.0,92,11,2698,100,1911,2022-10-07
5016,5016,['2022-10-11'],0,0,0,0,1,8,12,7,12,2,1815,New Zealand,131,6.235294118,8.333333333,25,0,3,Mohammad Wasim,FH Allen,DP Conway,0,0,1,9,24.2,162.78,1,1,1,38,21,15.0,15,0,363,101,223,,,,,,,,,,,,50.87,136.12,0,5,0,78,24,25.0,22,6,814,99,598,2022-10-11
5018,5018,['2022-10-11'],6,0,9,1,0,22,10,31,8,2,1815,New Zealand,131,5.666666667,9.2,46,0,5,Mohammad Wasim,DP Conway,FH Allen,0,0,2,11,50.87,136.12,0,5,0,78,24,25.0,22,6,814,99,598,,,,,,,,,,,,24.2,162.78,1,1,1,38,21,15.0,15,0,363,101,223,2022-10-11
5070,5070,['2022-10-08'],0,0,0,0,0,7,5,13,1,1,1809,New Zealand,210,10.0,7.5,15,0,2,Mohammad Wasim,DP Conway,FH Allen,1,0,0,5,47.2,138.28,0,4,0,69,21,23.0,20,5,708,99,512,,,,,,,,,,,,25.69,169.54,1,1,1,34,20,13.0,13,0,334,101,197,2022-10-08
5072,5072,['2022-10-08'],6,1,5,0,0,14,2,10,1,1,1809,New Zealand,210,8.0,6.5,26,1,4,Mohammad Wasim,KS Williamson,DP Conway,0,0,1,9,32.24,123.87,0,14,4,209,48,77.0,75,10,2096,95,1692,,,,,,,,,,,,47.2,138.28,0,4,0,69,21,23.0,20,5,708,99,512,2022-10-08
5084,5084,['2022-10-08'],12,1,14,1,0,10,13,24,16,1,1809,New Zealand,210,12.0,7.8125,125,3,16,Mohammad Wasim,GD Phillips,MS Chapman,0,0,0,5,31.09,141.76,1,5,2,63,50,44.0,38,7,964,108,680,,,,,,,,,,,,25.07,123.37,0,3,1,58,24,34.0,32,4,702,83,569,2022-10-08
5087,5087,['2022-10-08'],18,1,19,0,0,0,1,0,1,1,1809,New Zealand,210,10.0,7.473684211,142,7,19,Mohammad Wasim,IS Sodhi,TG Southee,1,0,0,5,12.55,116.49,0,0,2,8,7,76.0,15,6,113,19,97,,,,,,,,,,,,11.31,142.28,0,0,4,16,16,95.0,36,14,249,39,175,2022-10-08
5203,5203,['2022-10-22'],19,3,11,3,0,4,28,2,30,1,1840,Afghanistan,210,10.0,5.894736842,112,8,19,SM Curran,Usman Ghani,Fareed Ahmad,2,0,0,0,27.11,109.64,0,4,0,69,20,30.0,29,3,705,73,643,29.0,29,93,1,744,28,26.57,8,19.9,0,0,,125,0,0,0,4,0,20.0,2,2,25,24,20,2022-10-22
5397,5397,['2022-10-30'],18,1,22,0,0,1,2,0,1,1,1853,India,210,10.0,6.684210526,127,8,19,A Nortje,B Kumar,Mohammed Shami,1,0,0,6,7.75,71.26,0,0,2,0,0,81.0,19,11,62,16,87,26.0,25,84.5,0,615,29,21.2,7.24,17.5,1,0,,,0,0,0,0,0,19.0,2,2,0,0,0,2022-10-30
5518,5518,['2022-11-03'],0,0,0,3,0,9,12,10,20,2,1861,South Africa,186,9.8,7.8,39,2,5,Mohammad Wasim,T Bavuma,AK Markram,0,0,1,9,22.26,113.97,0,1,4,50,14,31.0,30,4,579,72,508,,,,,,,,,,,,40.09,148.23,0,9,1,67,39,29.0,25,4,842,70,568,2022-11-03
5524,5524,['2022-11-03'],6,0,9,0,0,12,1,14,1,2,1861,South Africa,186,10.11111111,8.636363636,95,5,11,Mohammad Wasim,WD Parnell,T Stubbs,1,0,0,4,27.5,99.39,0,0,0,13,4,51.0,19,13,165,29,166,,,,,,,,,,,,22.14,178.16,0,1,1,11,11,12.0,8,1,155,72,87,2022-11-03
5570,5570,['2022-11-06'],0,0,0,2,0,1,9,0,11,1,1872,Bangladesh,210,8.0,7.0,21,1,3,Mohammad Wasim,Nazmul Hossain Shanto,Soumya Sarkar,0,1,1,13,22,107.49,0,1,0,33,3,16.0,16,1,330,71,307,,,,,,,,,,,,17.52,122.5,0,5,11,118,45,71.0,71,3,1192,68,973,2022-11-06
5581,5581,['2022-11-06'],6,0,13,0,0,6,4,5,1,1,1872,Bangladesh,210,8.0,6.571428571,92,4,14,Mohammad Wasim,Mosaddek Hossain,Afif Hossain,0,0,0,7,19.2,116.36,0,0,4,26,11,32.0,30,10,384,48,330,,,,,,,,,,,,20.82,120.56,0,3,6,69,33,59.0,54,7,979,77,812,2022-11-06
5641,5641,['2022-11-05'],0,0,0,1,0,1,21,1,23,2,1867,England,142,5.8,7.533333333,113,5,15,KIC Asalanka,BA Stokes,SM Curran,0,0,1,8,18.18,131.98,0,0,1,35,21,40.0,34,7,491,47,372,30.0,3,4.1,0,22,0,,5.28,,0,0,12.66,138.18,0,0,0,8,9,32.0,20,8,152,24,110,2022-11-05
5650,5650,['2022-11-09'],0,0,0,2,0,9,12,8,11,1,1877,New Zealand,210,8.0,5.75,23,1,4,Mohammad Wasim,DP Conway,KS Williamson,0,0,0,7,50.71,132.29,0,7,0,99,29,32.0,29,8,1065,99,805,,,,,,,,,,,,32.73,123.46,0,16,4,225,54,85.0,83,11,2357,95,1909,2022-11-09
