,Unnamed: 0,year,over_start_bowler_balls_bowled,over_start_bowler_wickets_taken,over_start_bowler_runs_given,over_start_batsman_on_strike_fours,over_start_batsman_on_strike_sixers,over_start_batsman_off_strike_balls_faced,over_start_batsman_on_strike_balls_faced,over_start_batsman_offstrike_runs,over_start_batsman_onstrike_runs,innings,match_num,country,target,req_run_rate,over_start_run_rate,over_start_total_score,over_start_total_wickets_fallen,over,Bowler,batter_onStrike,batter_offstrike,wickets_fallen,sixers,fours,total_runs,bat_on_str_Ave,bat_on_str_SR,bat_on_str_100,bat_on_str_50,bat_on_str_0,bat_on_str_4s,bat_on_str_6s,bat_on_str_Mat,bat_on_str_Inns,bat_on_str_NO,bat_on_str_Runs,bat_on_str_HS,bat_on_str_BF,bowler_Mat,bowler_Inns,bowler_Overs,bowler_Mdns,bowler_Runs,bowler_Wkts,bowler_Ave,bowler_Econ,bowler_SR,bowler_4w,bowler_5w,bat_off_str_Ave,bat_off_str_SR,bat_off_str_100,bat_off_str_50,bat_off_str_0,bat_off_str_4s,bat_off_str_6s,bat_off_str_Mat,bat_off_str_Inns,bat_off_str_NO,bat_off_str_Runs,bat_off_str_HS,bat_off_str_BF,date
2,2,['2015-11-26'],6,0,5,1,0,0,6,0,6,1,468,England,210,8.0,8.0,16,1,2,Anwar Ali,AD Hales,JM Vince,1,0,0,2,36.4,137.01,1,7,3,114,35,35.0,35,5,1092,116,797,11.0,10,27,0,230,6,38.33,8.51,27,0,0,,,,,,,,,,,,,,2015-11-26
3,3,['2015-11-26'],7,1,11,0,0,3,0,0,0,1,468,England,210,8.0,6.0,18,2,3,Sohail Tanvir,JM Vince,MM Ali,1,0,0,1,,,,,,,,,,,,,,47.0,47,163.3,2,1158,42,27.57,7.08,23.3,0,0,18.42,127.72,0,1,2,14,4,8.0,8,1,129,72,101,2015-11-26
4,4,['2015-11-26'],12,1,7,0,0,1,2,0,0,1,468,England,210,8.0,4.75,19,3,4,Anwar Ali,JM Vince,EJG Morgan,0,0,1,6,,,,,,,,,,,,,,11.0,10,27,0,230,6,38.33,8.51,27,0,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
5,5,['2015-11-26'],0,0,0,0,0,7,2,5,1,1,468,England,210,8.0,5.0,25,3,5,Wahab Riaz,EJG Morgan,JM Vince,0,0,3,15,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,10.0,10,28,1,208,9,23.11,7.42,18.6,0,0,,,,,,,,,,,,,,2015-11-26
6,6,['2015-11-26'],0,0,0,1,0,10,5,14,7,1,468,England,210,9.0,6.666666667,40,3,6,Shahid Afridi,EJG Morgan,JM Vince,0,0,0,3,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,,,,,,,,,,,,,,2015-11-26
7,7,['2015-11-26'],0,0,0,1,0,13,8,15,9,1,468,England,210,9.0,6.142857143,43,3,7,Imran Khan (1),EJG Morgan,JM Vince,0,0,1,6,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-26
8,8,['2015-11-26'],6,0,3,3,0,11,16,14,16,1,468,England,210,9.0,6.125,49,3,8,Shahid Afridi,JM Vince,EJG Morgan,0,0,1,7,,,,,,,,,,,,,,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
9,9,['2015-11-26'],6,0,6,4,0,14,19,16,21,1,468,England,210,9.0,6.222222222,56,3,9,Imran Khan (1),JM Vince,EJG Morgan,0,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
10,10,['2015-11-26'],12,0,10,2,0,24,16,29,18,1,468,England,210,9.0,6.7,67,3,10,Shahid Afridi,EJG Morgan,JM Vince,0,0,2,10,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,,,,,,,,,,,,,,2015-11-26
11,11,['2015-11-26'],6,0,15,5,1,18,28,23,34,1,468,England,210,9.0,7.0,77,3,11,Wahab Riaz,JM Vince,EJG Morgan,0,0,0,3,,,,,,,,,,,,,,10.0,10,28,1,208,9,23.11,7.42,18.6,0,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
12,12,['2015-11-26'],18,0,20,5,1,19,33,24,36,1,468,England,210,9.0,6.666666667,80,3,12,Shahid Afridi,JM Vince,EJG Morgan,0,1,1,14,,,,,,,,,,,,,,84.0,83,305.2,3,2017,83,24.3,6.6,22,3,0,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
13,13,['2015-11-26'],12,0,18,3,1,36,22,41,32,1,468,England,210,9.0,7.230769231,94,3,13,Wahab Riaz,EJG Morgan,JM Vince,1,0,0,1,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,10.0,10,28,1,208,9,23.11,7.42,18.6,0,0,,,,,,,,,,,,,,2015-11-26
14,14,['2015-11-26'],13,0,17,3,1,0,27,0,33,1,468,England,210,8.0,6.785714286,95,4,14,Imran Khan (1),EJG Morgan,SW Billings,0,0,0,6,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,,,,,,,,,,,,11.5,127.77,0,0,0,2,1,2.0,2,0,23,21,18,2015-11-26
17,17,['2015-11-26'],19,0,23,2,0,33,12,39,18,1,468,England,210,12.0,7.0,119,4,17,Imran Khan (1),SW Billings,EJG Morgan,0,1,2,19,11.5,127.77,0,0,0,2,1,2.0,2,0,23,21,18,,,,,,,,,,,,29.87,134.02,0,7,1,105,51,52.0,51,10,1225,85,914,2015-11-26
20,20,['2015-11-26'],0,0,0,0,0,0,0,0,0,2,468,Pakistan,161,8.05,0.0,0,0,0,CJ Jordan,Rafatullah Mohmand,Sarfraz Ahmed,0,0,1,6,,,,,,,,,,,,,,7.0,7,22.2,0,181,9,20.11,8.1,14.8,0,0,42.5,111.84,0,1,0,9,2,8.0,4,2,85,76,76,2015-11-26
21,21,['2015-11-26'],0,0,0,0,0,6,0,6,0,2,468,Pakistan,161,8.157894737,6.0,6,0,1,RJW Topley,Sarfraz Ahmed,Rafatullah Mohmand,1,0,0,4,42.5,111.84,0,1,0,9,2,8.0,4,2,85,76,76,1.0,1,4,0,35,1,35,8.75,24,0,0,,,,,,,,,,,,,,2015-11-26
22,22,['2015-11-26'],6,0,6,0,0,10,0,9,0,2,468,Pakistan,161,8.388888889,5.0,10,1,2,CJ Jordan,Mohammad Hafeez,Rafatullah Mohmand,0,0,1,7,23.31,115.04,0,7,5,148,33,65.0,63,3,1399,86,1216,7.0,7,22.2,0,181,9,20.11,8.1,14.8,0,0,,,,,,,,,,,,,,2015-11-26
23,23,['2015-11-26'],0,0,0,1,0,6,11,5,10,2,468,Pakistan,161,8.470588235,5.666666667,17,1,3,LE Plunkett,Rafatullah Mohmand,Mohammad Hafeez,1,0,0,3,,,,,,,,,,,,,,1.0,1,4,0,37,1,37,9.25,24,0,0,23.31,115.04,0,7,5,148,33,65.0,63,3,1399,86,1216,2015-11-26
24,24,['2015-11-26'],6,1,4,1,0,0,15,0,11,2,468,Pakistan,161,8.8125,5.0,20,2,4,RJW Topley,Rafatullah Mohmand,Mohammad Rizwan,0,0,0,5,,,,,,,,,,,,,,1.0,1,4,0,35,1,35,8.75,24,0,0,24,98.63,0,0,0,3,1,6.0,4,1,72,33,73,2015-11-26
25,25,['2015-11-26'],6,1,3,1,0,2,19,0,16,2,468,Pakistan,161,9.066666667,5.0,25,2,5,LE Plunkett,Rafatullah Mohmand,Mohammad Rizwan,1,0,1,7,,,,,,,,,,,,,,1.0,1,4,0,37,1,37,9.25,24,0,0,24,98.63,0,0,0,3,1,6.0,4,1,72,33,73,2015-11-26
27,27,['2015-11-26'],0,0,0,1,0,6,7,8,5,2,468,Pakistan,161,9.461538462,5.428571429,38,3,7,SD Parry,Mohammad Rizwan,Sohaib Maqsood,1,0,0,7,24,98.63,0,0,0,3,1,6.0,4,1,72,33,73,3.0,3,8,0,72,0,,9,,0,0,14.75,114.93,0,0,1,13,6,16.0,14,2,177,37,154,2015-11-26
29,29,['2015-11-26'],6,1,7,0,0,12,4,21,4,2,468,Pakistan,161,9.545454545,6.222222222,56,4,9,SD Parry,Umar Akmal,Sohaib Maqsood,0,0,0,4,27.35,123.45,0,6,7,106,42,65.0,62,11,1395,94,1130,3.0,3,8,0,72,0,,9,,0,0,14.75,114.93,0,0,1,13,6,16.0,14,2,177,37,154,2015-11-26
31,31,['2015-11-26'],12,1,11,1,0,16,12,24,13,2,468,Pakistan,161,10.33333333,6.181818182,68,4,11,SD Parry,Umar Akmal,Sohaib Maqsood,2,1,0,6,27.35,123.45,0,6,7,106,42,65.0,62,11,1395,94,1130,3.0,3,8,0,72,0,,9,,0,0,14.75,114.93,0,0,1,13,6,16.0,14,2,177,37,154,2015-11-26
33,33,['2015-11-26'],18,3,17,0,0,4,4,3,1,2,468,Pakistan,161,11.71428571,6.076923077,79,7,13,SD Parry,Anwar Ali,Sohail Tanvir,0,2,0,16,16.25,151.16,0,0,0,4,4,11.0,6,2,65,46,43,3.0,3,8,0,72,0,,9,,0,0,9.31,118.25,0,0,2,12,7,47.0,20,4,149,41,126,2015-11-26
134,134,['2021-10-31'],18,1,15,2,0,0,13,0,15,1,1381,India,210,10.0,5.210526316,99,7,19,TG Southee,RA Jadeja,Mohammed Shami,0,1,0,11,15.33,111.65,0,0,2,13,6,51.0,25,10,230,44,206,84.0,82,301,2,2517,100,25.17,8.36,18,1,1,,,0,0,0,0,0,13.0,1,1,0,0,0,2021-10-31
229,229,['2021-11-04'],0,0,0,0,0,0,0,0,0,1,1392,Sri Lanka,210,10.0,0.0,0,0,0,RL Chase,P Nissanka,MDKJ Perera,0,0,1,6,25.1,115.66,0,2,1,22,7,11.0,10,0,251,72,217,1.0,,,,,,,,,,,26.49,131.19,0,12,1,142,50,59.0,58,1,1510,84,1151,2021-11-04
266,266,['2021-11-04'],12,1,21,5,1,0,39,0,46,2,1392,West Indies,190,19.66666667,7.705882353,131,8,17,PVD Chameera,SO Hetmyer,AJ Hosein,0,0,1,7,18.6,116.49,0,2,3,33,28,40.0,33,3,558,61,479,38.0,38,132.2,0,1034,37,27.94,7.81,21.4,1,0,,50,0,0,0,0,0,9.0,3,3,8,6,16,2021-11-04
267,267,['2021-11-04'],19,2,26,6,1,1,44,1,52,2,1392,West Indies,190,26.0,7.666666667,138,8,18,C Karunaratne,SO Hetmyer,AJ Hosein,0,2,1,18,18.6,116.49,0,2,3,33,28,40.0,33,3,558,61,479,13.0,12,29.1,0,211,5,42.2,7.23,35,0,0,,50,0,0,0,0,0,9.0,3,3,8,6,16,2021-11-04
268,268,['2021-11-04'],18,1,28,7,3,1,51,1,68,2,1392,West Indies,190,34.0,8.210526316,156,8,19,PVD Chameera,SO Hetmyer,AJ Hosein,0,1,1,13,18.6,116.49,0,2,3,33,28,40.0,33,3,558,61,479,38.0,38,132.2,0,1034,37,27.94,7.81,21.4,1,0,,50,0,0,0,0,0,9.0,3,3,8,6,16,2021-11-04
312,312,['2021-11-06'],0,0,0,0,0,2,4,1,4,2,1398,Australia,158,8.052631579,5.0,5,0,1,RL Chase,DA Warner,AJ Finch,0,0,2,13,31.09,139.49,1,19,6,234,89,85.0,85,9,2363,100,1694,2.0,1,1,0,6,0,,6,,0,0,37.05,148.82,2,15,6,259,113,80.0,80,10,2594,172,1743,2021-11-06
327,327,['2021-11-06'],7,0,13,8,4,0,58,0,85,2,1398,Australia,158,0.25,9.8125,157,2,16,RL Chase,DA Warner,GJ Maxwell,0,0,1,4,31.09,139.49,1,19,6,234,89,85.0,85,9,2363,100,1694,2.0,1,1,0,6,0,,6,,0,0,30.66,156.48,3,9,1,149,93,76.0,69,10,1809,145,1156,2021-11-06
387,387,['2021-11-07'],18,0,22,0,0,1,1,0,1,1,1402,Afghanistan,210,10.0,6.421052632,122,7,19,JDS Neesham,Rashid Khan,Mujeeb Ur Rahman,1,0,0,2,12.78,127.85,0,0,6,11,11,55.0,27,13,179,33,140,33.0,25,56.1,0,517,19,27.21,9.2,17.7,0,0,,100,0,0,0,1,0,21.0,3,3,8,8,8,2021-11-07
563,563,['2021-11-17'],0,0,0,0,0,17,0,13,0,2,1434,India,165,10.0,8.157894737,155,4,19,DJ Mitchell,VR Iyer,RR Pant,1,0,2,11,,,,,,,,,,,,,,22.0,6,11.1,0,110,5,22,9.85,13.4,0,0,22.69,123.43,0,2,3,42,26,38.0,32,6,590,65,478,2021-11-17
570,570,['2021-11-19'],0,0,0,3,0,6,15,11,21,1,1440,New Zealand,210,9.0,10.66666667,64,1,6,HV Patel,DJ Mitchell,MS Chapman,0,0,0,5,22.25,138.52,0,1,1,28,14,23.0,21,5,356,72,257,,,,,,,,,,,,23.92,118.18,0,2,0,50,17,31.0,29,4,598,63,506,2021-11-19
575,575,['2021-11-19'],6,0,5,3,0,9,27,4,31,1,1440,New Zealand,210,9.0,8.181818182,90,2,11,HV Patel,DJ Mitchell,GD Phillips,1,0,1,4,22.25,138.52,0,1,1,28,14,23.0,21,5,356,72,257,,,,,,,,,,,,26.56,140.45,1,2,1,42,34,33.0,28,5,611,108,435,2021-11-19
580,580,['2021-11-19'],12,1,9,1,2,5,19,1,26,1,1440,New Zealand,210,12.0,8.0,128,4,16,HV Patel,GD Phillips,JDS Neesham,1,1,0,10,26.56,140.45,1,2,1,42,34,33.0,28,5,611,108,435,,,,,,,,,,,,24.11,160.78,0,0,2,31,25,36.0,27,10,410,48,255,2021-11-19
582,582,['2021-11-19'],19,2,19,0,0,0,1,0,1,1,1440,New Zealand,210,12.0,7.777777778,140,6,18,HV Patel,MJ Santner,AF Milne,0,0,0,6,15.13,125.63,0,0,4,25,11,60.0,41,18,348,37,277,,,,,,,,,,,,,91.3,0,0,0,1,0,29.0,8,8,21,10,23,2021-11-19
583,583,['2021-11-19'],18,1,36,0,0,6,1,6,1,1,1440,New Zealand,210,12.0,7.684210526,146,6,19,DL Chahar,AF Milne,MJ Santner,0,0,0,7,,91.3,0,0,0,1,0,29.0,8,8,21,10,23,15.0,15,54.5,1,428,21,20.38,7.8,15.6,0,1,15.13,125.63,0,0,4,25,11,60.0,41,18,348,37,277,2021-11-19
603,603,['2021-11-20'],0,0,0,0,0,4,1,1,1,1,1443,Bangladesh,210,8.0,2.0,2,1,1,Mohammad Wasim,Nazmul Hossain Shanto,Mohammad Naim,1,0,0,3,7.75,83.78,0,0,0,2,0,4.0,4,0,31,11,37,,,,,,,,,,,,25.68,106.73,0,4,2,71,15,30.0,30,1,745,81,698,2021-11-20
605,605,['2021-11-20'],6,1,3,0,1,4,5,3,7,1,1443,Bangladesh,210,8.0,5.666666667,17,2,3,Mohammad Wasim,Afif Hossain,Nazmul Hossain Shanto,0,0,1,6,16.53,119.94,0,1,5,37,16,37.0,32,4,463,52,386,,,,,,,,,,,,7.75,83.78,0,0,0,2,0,4.0,4,0,31,11,37,2021-11-20
616,616,['2021-11-20'],12,1,9,0,0,4,1,1,1,1,1443,Bangladesh,210,8.0,5.928571429,83,5,14,Mohammad Wasim,Mahedi Hasan,Nurul Hasan,0,0,0,2,14.5,105.72,0,0,4,12,8,27.0,19,5,203,30,192,,,,,,,,,,,,13.05,113.26,0,0,3,16,4,28.0,24,7,222,30,196,2021-11-20
638,638,['2021-11-20'],0,0,0,2,3,2,44,1,54,2,1443,Pakistan,109,2.5,6.1875,99,2,16,Nazmul Hossain Shanto,Fakhar Zaman,Haider Ali,0,0,0,3,22.38,132.72,0,6,3,121,40,60.0,54,2,1164,91,877,4.0,,,,,,,,,,,18.28,129.94,0,2,1,22,12,16.0,15,1,256,66,197,2021-11-20
640,640,['2021-11-20'],0,0,0,2,3,9,50,6,56,2,1443,Pakistan,109,0.5,6.0,108,2,18,Saif Hassan,Fakhar Zaman,Haider Ali,0,0,0,1,22.38,132.72,0,6,3,121,40,60.0,54,2,1164,91,877,1.0,,,,,,,,,,,18.28,129.94,0,2,1,22,12,16.0,15,1,256,66,197,2021-11-20
662,662,['2018-02-21'],0,0,0,0,0,1,5,0,1,2,654,South Africa,189,9.894736842,1.0,1,0,1,SN Thakur,RR Hendricks,JT Smuts,0,0,0,3,24.2,112.03,0,1,2,25,2,10.0,10,0,242,70,216,,,,,,,,,,,,17.71,118.09,0,0,1,14,5,7.0,7,0,124,45,105,2018-02-21
665,665,['2018-02-21'],6,0,3,0,0,15,0,22,0,2,654,South Africa,189,10.3125,6.0,24,1,4,SN Thakur,JP Duminy,RR Hendricks,1,0,2,14,36.23,123.49,0,9,6,124,59,74.0,68,21,1703,96,1379,,,,,,,,,,,,24.2,112.03,0,1,2,25,2,10.0,10,0,242,70,216,2018-02-21
670,670,['2018-02-21'],13,1,17,2,0,16,13,31,18,2,654,South Africa,189,9.909090909,8.888888889,80,2,9,SN Thakur,JP Duminy,H Klaasen,0,0,0,4,36.23,123.49,0,9,6,124,59,74.0,68,21,1703,96,1379,,,,,,,,,,,,16,200,0,0,0,1,1,1.0,1,0,16,16,8,2018-02-21
678,678,['2018-02-21'],19,1,21,3,1,6,35,9,46,2,654,South Africa,189,8.666666667,9.588235294,163,4,17,SN Thakur,JP Duminy,F Behardien,0,0,1,10,36.23,123.49,0,9,6,124,59,74.0,68,21,1703,96,1379,,,,,,,,,,,,30.25,125.38,0,1,1,34,15,35.0,27,11,484,64,386,2018-02-21
681,681,['2020-11-29'],0,0,0,0,0,6,0,4,0,1,1110,New Zealand,210,10.0,4.0,4,0,1,KR Mayers,TL Seifert,MJ Guptill,0,0,2,10,22.57,139.41,0,3,2,34,30,25.0,24,3,474,84,340,,,,,,,,,,,,32.16,134.65,2,15,2,225,119,89.0,86,7,2541,105,1887,2020-11-29
701,701,['2020-11-29'],0,0,0,0,0,6,0,10,0,2,1110,West Indies,239,12.05263158,10.0,10,0,1,KA Jamieson,BA King,ADS Fletcher,1,0,0,1,17.75,133.96,0,0,0,19,4,9.0,8,0,142,43,106,1.0,1,3,0,26,0,,8.66,,0,0,21.59,110.81,0,6,6,57,40,43.0,41,4,799,84,721,2020-11-29
703,703,['2020-11-29'],6,1,1,0,2,5,13,6,19,2,1110,West Indies,239,12.52941176,8.666666667,26,1,3,KA Jamieson,ADS Fletcher,SO Hetmyer,1,0,0,3,21.59,110.81,0,6,6,57,40,43.0,41,4,799,84,721,1.0,1,3,0,26,0,,8.66,,0,0,18.63,121.23,0,1,3,22,20,26.0,22,3,354,56,292,2020-11-29
704,704,['2020-11-29'],0,0,0,1,0,4,8,0,6,2,1110,West Indies,239,13.125,7.25,29,2,4,LH Ferguson,SO Hetmyer,KR Mayers,0,0,0,2,18.63,121.23,0,1,3,22,20,26.0,22,3,354,56,292,9.0,9,35,0,243,19,12.78,6.94,11,0,1,,,,,,,,,,,,,,2020-11-29
705,705,['2020-11-29'],0,0,0,0,0,13,5,7,1,2,1110,West Indies,239,13.86666667,6.2,31,2,5,MJ Santner,KR Mayers,SO Hetmyer,0,1,0,13,,,,,,,,,,,,,,45.0,44,150.5,1,1119,52,21.51,7.41,17.4,1,0,18.63,121.23,0,1,3,22,20,26.0,22,3,354,56,292,2020-11-29
706,706,['2020-11-29'],6,0,2,1,0,9,16,11,8,2,1110,West Indies,239,13.92857143,7.333333333,44,2,6,LH Ferguson,SO Hetmyer,KR Mayers,0,0,1,7,18.63,121.23,0,1,3,22,20,26.0,22,3,354,56,292,9.0,9,35,0,243,19,12.78,6.94,11,0,1,,,,,,,,,,,,,,2020-11-29
707,707,['2020-11-29'],0,0,0,0,1,21,11,13,12,2,1110,West Indies,239,14.46153846,7.285714286,51,2,7,IS Sodhi,KR Mayers,SO Hetmyer,0,0,0,3,,,,,,,,,,,,,,45.0,44,158.3,0,1277,53,24.09,8.05,17.9,0,0,18.63,121.23,0,1,3,22,20,26.0,22,3,354,56,292,2020-11-29
708,708,['2020-11-29'],0,0,0,0,1,25,13,14,14,2,1110,West Indies,239,15.41666667,6.75,54,2,8,JDS Neesham,KR Mayers,SO Hetmyer,1,1,0,12,,,,,,,,,,,,,,19.0,17,39.1,0,355,13,27.3,9.06,18,0,0,18.63,121.23,0,1,3,22,20,26.0,22,3,354,56,292,2020-11-29
714,714,['2020-11-29'],14,2,4,0,0,4,0,4,0,2,1110,West Indies,239,21.0,8.071428571,113,6,14,KA Jamieson,FA Allen,R Powell,0,1,0,9,12.12,114.11,0,0,2,9,4,14.0,11,3,97,30,85,1.0,1,3,0,26,0,,8.66,,0,0,19.29,121.48,0,2,2,28,13,27.0,20,3,328,54,270,2020-11-29
717,717,['2020-11-29'],20,2,13,0,0,0,4,0,2,2,1110,West Indies,239,32.66666667,8.294117647,141,8,17,KA Jamieson,KMA Paul,SS Cottrell,1,0,0,3,17.75,113.6,0,0,1,8,8,19.0,13,5,142,29,125,1.0,1,3,0,26,0,,8.66,,0,0,5.33,66.66,0,0,1,2,0,28.0,8,5,16,4,24,2020-11-29
722,722,['2021-12-13'],0,0,0,0,0,6,4,6,2,1,1448,Pakistan,210,8.0,4.0,8,1,2,DC Drakes,Mohammad Rizwan,Fakhar Zaman,0,0,1,11,49.51,125.52,1,11,3,126,43,52.0,41,12,1436,104,1144,,,,,,,,,,,,23.48,131.57,0,7,3,123,43,61.0,55,3,1221,91,928,2021-12-13
725,725,['2021-12-13'],6,0,11,3,0,0,18,0,26,1,1448,Pakistan,210,8.0,7.2,36,2,5,DC Drakes,Mohammad Rizwan,Haider Ali,0,0,1,8,49.51,125.52,1,11,3,126,43,52.0,41,12,1436,104,1144,,,,,,,,,,,,20.46,126.33,0,2,1,26,14,18.0,17,2,307,66,243,2021-12-13
733,733,['2021-12-13'],12,0,19,10,0,20,48,28,74,1,1448,Pakistan,210,9.0,8.769230769,114,2,13,DC Drakes,Mohammad Rizwan,Haider Ali,0,1,1,13,49.51,125.52,1,11,3,126,43,52.0,41,12,1436,104,1144,,,,,,,,,,,,20.46,126.33,0,2,1,26,14,18.0,17,2,307,66,243,2021-12-13
739,739,['2021-12-13'],18,0,32,6,4,7,38,20,67,1,1448,Pakistan,210,12.0,9.947368421,189,5,19,DC Drakes,Haider Ali,Mohammad Nawaz,1,1,0,11,20.46,126.33,0,2,1,26,14,18.0,17,2,307,66,243,,,,,,,,,,,,15.33,116.45,0,0,2,6,5,27.0,11,5,92,25,79,2021-12-13
743,743,['2021-12-13'],0,0,0,1,0,7,10,12,8,2,1448,West Indies,201,10.52941176,7.333333333,22,1,3,Mohammad Wasim,SD Hope,N Pooran,1,1,1,11,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,,,,,,,,,,,,22.33,125.55,0,3,2,56,42,46.0,39,6,737,62,587,2021-12-13
744,744,['2021-12-13'],0,0,0,2,0,1,12,0,13,2,1448,West Indies,201,10.5,8.25,33,2,4,Haris Rauf,SD Hope,DC Thomas,0,0,0,5,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,32.0,30,112.3,0,948,38,24.94,8.42,17.7,1,0,,,,,,,,3.0,,,,,,2021-12-13
745,745,['2021-12-13'],6,1,11,2,0,3,16,2,16,2,1448,West Indies,201,10.86666667,7.6,38,2,5,Mohammad Wasim,SD Hope,DC Thomas,1,0,1,8,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,,,,,,,,,,,,,,,,,,,3.0,,,,,,2021-12-13
746,746,['2021-12-13'],6,1,8,3,0,2,20,1,22,2,1448,West Indies,201,11.07142857,7.666666667,46,3,6,Mohammad Nawaz,SD Hope,SSJ Brooks,0,0,1,7,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,27.0,27,86,1,598,22,27.18,6.95,23.4,0,0,,,,,,,,,,,,,,2021-12-13
747,747,['2021-12-13'],0,0,0,4,0,5,23,2,28,2,1448,West Indies,201,11.38461538,7.571428571,53,3,7,Shadab Khan,SD Hope,SSJ Brooks,0,0,0,4,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,61.0,57,211.3,2,1516,70,21.65,7.16,18.1,2,0,,,,,,,,,,,,,,2021-12-13
748,748,['2021-12-13'],12,1,15,0,0,26,8,30,4,2,1448,West Indies,201,12.0,7.125,57,3,8,Mohammad Nawaz,SSJ Brooks,SD Hope,0,0,0,2,,,,,,,,,,,,,,27.0,27,86,1,598,22,27.18,6.95,23.4,0,0,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,2021-12-13
749,749,['2021-12-13'],6,0,4,4,0,13,27,5,31,2,1448,West Indies,201,12.90909091,6.555555556,59,3,9,Shadab Khan,SD Hope,SSJ Brooks,2,0,0,1,21.63,136,0,2,1,24,10,13.0,11,0,238,55,175,61.0,57,211.3,2,1516,70,21.65,7.16,18.1,2,0,,,,,,,,,,,,,,2021-12-13
750,750,['2021-12-13'],18,1,17,0,0,2,1,0,1,2,1448,West Indies,201,14.1,6.0,60,5,10,Mohammad Nawaz,R Powell,DC Drakes,0,0,1,7,18.1,120.7,0,2,2,29,14,30.0,22,3,344,54,285,27.0,27,86,1,598,22,27.18,6.95,23.4,0,0,,,,,,,,,,,,,,2021-12-13
751,751,['2021-12-13'],12,2,5,0,0,5,4,5,3,2,1448,West Indies,201,14.88888889,6.090909091,67,5,11,Shadab Khan,R Powell,DC Drakes,0,1,1,12,18.1,120.7,0,2,2,29,14,30.0,22,3,344,54,285,61.0,57,211.3,2,1516,70,21.65,7.16,18.1,2,0,,,,,,,,,,,,,,2021-12-13
752,752,['2021-12-13'],6,0,5,1,0,10,5,15,5,2,1448,West Indies,201,15.25,6.583333333,79,5,12,Haris Rauf,DC Drakes,R Powell,1,1,0,9,,,,,,,,,,,,,,32.0,30,112.3,0,948,38,24.94,8.42,17.7,1,0,18.1,120.7,0,2,2,29,14,30.0,22,3,344,54,285,2021-12-13
753,753,['2021-12-13'],18,2,17,1,2,2,13,1,23,2,1448,West Indies,201,16.14285714,6.769230769,88,6,13,Shadab Khan,R Powell,R Shepherd,1,0,0,0,18.1,120.7,0,2,2,29,14,30.0,22,3,344,54,285,61.0,57,211.3,2,1516,70,21.65,7.16,18.1,2,0,,,,,,,,6.0,,,,,,2021-12-13
754,754,['2021-12-13'],13,2,19,0,0,4,2,0,1,2,1448,West Indies,201,18.83333333,6.285714286,88,7,14,Mohammad Wasim,R Shepherd,OF Smith,0,1,2,18,,,,,,,,6.0,,,,,,,,,,,,,,,,,26.96,126.16,0,4,1,71,21,52.0,41,9,863,90,684,2021-12-13
755,755,['2021-12-13'],13,0,14,2,1,4,9,0,18,2,1448,West Indies,201,19.0,7.066666667,106,7,15,Shaheen Shah Afridi,R Shepherd,OF Smith,0,0,0,5,,,,,,,,6.0,,,,,,37.0,37,135.2,2,1061,41,25.87,7.83,19.8,0,0,26.96,126.16,0,4,1,71,21,52.0,41,9,863,90,684,2021-12-13
756,756,['2021-12-13'],12,1,14,0,0,13,7,20,2,2,1448,West Indies,201,22.5,6.9375,111,7,16,Haris Rauf,OF Smith,R Shepherd,0,1,0,7,26.96,126.16,0,4,1,71,21,52.0,41,9,863,90,684,32.0,30,112.3,0,948,38,24.94,8.42,17.7,1,0,,,,,,,,6.0,,,,,,2021-12-13
757,757,['2021-12-13'],20,0,19,0,1,14,12,20,9,2,1448,West Indies,201,27.66666667,6.941176471,118,7,17,Shaheen Shah Afridi,OF Smith,R Shepherd,1,1,2,16,26.96,126.16,0,4,1,71,21,52.0,41,9,863,90,684,37.0,37,135.2,2,1061,41,25.87,7.83,19.8,0,0,,,,,,,,6.0,,,,,,2021-12-13
